in·­dik·­at·­iv,~en ~er ,Singular,en indikativ,obestämd form,en indikativs,obestämd form genitiv,indikativen,bestämd form,indikativens,bestämd form genitiv,Plural,indikativer,obestämd form,indikativers,obestämd form genitiv,indikativerna,bestämd form,indikativernas,bestämd form genitiv
stock|­holmska,~n ‑holmskor ,Singular,en stockholmska,obestämd form,en stockholmskas,obestämd form genitiv,stockholmskan,bestämd form,stockholmskans,bestämd form genitiv,Plural,stockholmskor,obestämd form,stockholmskors,obestämd form genitiv,stockholmskorna,bestämd form,stockholmskornas,bestämd form genitiv
åt|­gärd,~en ~er ,Singular,en åtgärd,obestämd form,en åtgärds,obestämd form genitiv,åtgärden,bestämd form,åtgärdens,bestämd form genitiv,Plural,åtgärder,obestämd form,åtgärders,obestämd form genitiv,åtgärderna,bestämd form,åtgärdernas,bestämd form genitiv
kogn·­it·ion,~en ,Singular,en kognition,obestämd form,en kognitions,obestämd form genitiv,kognitionen,bestämd form,kognitionens,bestämd form genitiv
an|­svar,~et; pl. ~ ,Singular,ett ansvar,obestämd form,ett ansvars,obestämd form genitiv,ansvaret,bestämd form,ansvarets,bestämd form genitiv,Plural,ansvar,obestämd form,ansvars,obestämd form genitiv,ansvaren,bestämd form,ansvarens,bestämd form genitiv
alt·­ern·­at·­iv,~et; pl. ~ ,Singular,ett alternativ,obestämd form,ett alternativs,obestämd form genitiv,alternativet,bestämd form,alternativets,bestämd form genitiv,Plural,alternativ,obestämd form,alternativs,obestämd form genitiv,alternativen,bestämd form,alternativens,bestämd form genitiv
alt·­ern·­at·­iv,~t ~a ,Positiv,en alternativ + substantiv,ett alternativt + substantiv,den/det/de alternativa + substantiv,den alternative + maskulint substantiv
djur,~et; pl. ~ ,Singular,ett djur,obestämd form,ett djurs,obestämd form genitiv,djuret,bestämd form,djurets,bestämd form genitiv,Plural,djur,obestämd form,djurs,obestämd form genitiv,djuren,bestämd form,djurens,bestämd form genitiv
pro·­jekt,~et; pl. ~ ,Singular,ett projekt,obestämd form,ett projekts,obestämd form genitiv,projektet,bestämd form,projektets,bestämd form genitiv,Plural,projekt,obestämd form,projekts,obestämd form genitiv,projekten,bestämd form,projektens,bestämd form genitiv
dricka,~n drickor ,Singular,en dricka,obestämd form,en drickas,obestämd form genitiv,drickan,bestämd form,drickans,bestämd form genitiv,Plural,drickor,obestämd form,drickors,obestämd form genitiv,drickorna,bestämd form,drickornas,bestämd form genitiv
dricka,~t ,Singular,ett dricka,obestämd form,ett drickas,obestämd form genitiv,drickat,bestämd form,drickats,bestämd form genitiv
dricka,drack, druckit, drucken drucket druckna, pres. dricker ,Finita former,dricker,presens aktiv,dricks (drickes),presens passiv,drack,preteritum aktiv,dracks,preteritum passiv,drick,imperativ aktiv,Infinita former,att dricka,infinitiv aktiv,att drickas,infinitiv passiv,har/hade druckit,supinum aktiv,har/hade druckits,supinum passiv,Presens particip,drickande,Perfekt particip,en drucken + substantiv,ett drucket + substantiv,den/det/de druckna + substantiv
kal·­ender,~n kalendrar ,Singular,en kalender,obestämd form,en kalenders,obestämd form genitiv,kalendern,bestämd form,kalenderns,bestämd form genitiv,Plural,kalendrar,obestämd form,kalendrars,obestämd form genitiv,kalendrarna,bestämd form,kalendrarnas,bestämd form genitiv
bula,~n bulor ,Singular,en bula,obestämd form,en bulas,obestämd form genitiv,bulan,bestämd form,bulans,bestämd form genitiv,Plural,bulor,obestämd form,bulors,obestämd form genitiv,bulorna,bestämd form,bulornas,bestämd form genitiv
hand,~en händer ,Singular,en hand,obestämd form,en hands,obestämd form genitiv,handen,bestämd form,handens,bestämd form genitiv,Plural,händer,obestämd form,händers,obestämd form genitiv,händerna,bestämd form,händernas,bestämd form genitiv,Övrig(a) form(er),handa,i vissa uttryck
hav,~et; pl. ~ ,Singular,ett hav,obestämd form,ett havs,obestämd form genitiv,havet,bestämd form,havets,bestämd form genitiv,Plural,hav,obestämd form,havs,obestämd form genitiv,haven,bestämd form,havens,bestämd form genitiv
muse·­um,museet museer ,Singular,ett museum,obestämd form,ett museums,obestämd form genitiv,museet,bestämd form,museets,bestämd form genitiv,Plural,museer,obestämd form,museers,obestämd form genitiv,museerna,bestämd form,museernas,bestämd form genitiv
initi·­al,~t ~a ,Positiv,en initial + substantiv,ett initialt + substantiv,den/det/de initiala + substantiv
initi·­al,~en ~er ,Singular,en initial,obestämd form,en initials,obestämd form genitiv,initialen,bestämd form,initialens,bestämd form genitiv,Plural,initialer,obestämd form,initialers,obestämd form genitiv,initialerna,bestämd form,initialernas,bestämd form genitiv
