Substantiv,bojning,Singular obestämd,Singular obestämd genitiv,Singular bestämd,Singular bestämd genitiv,Plural obestämd,Plural obestämd genitiv,Plural bestämd,Plural bestämd genitiv,Articles,Obestämd Initial Två Bokstäver,Bestämd Initial Två Bokstäver,Obestämd Initial Tre Bokstäver,Bestämd Initial Tre Bokstäver,Obestämd Slutlig Två Bokstäver,Bestämd Slutlig Två Bokstäver,Obestämd Slutlig Tre Bokstäver,Bestämd Slutlig Tre Bokstäver,Obestämd Vokalratio,Bestämd Vokalratio,Obestämd Ord Längd,Bestämd Ord Längd
hotell,~et; pl. ~ ,hotell,hotells,hotellet,hotellets,hotell,hotells,hotellen,hotellens,ett,ho,ho,hot,hot,ll,et,ell,let,0.3333333333333333,0.375,6,8
sess·ion,~en ~er ,session,sessions,sessionen,sessionens,sessioner,sessioners,sessionerna,sessionernas,en,se,se,ses,ses,on,en,ion,nen,0.42857142857142855,0.4444444444444444,7,9
sociologi,~n ,sociologi,sociologis,sociologin,sociologins,NOP,NOP,NOP,NOP,en,so,so,soc,soc,gi,in,ogi,gin,0.5555555555555556,0.5,9,10
subjekt,~et; pl. ~ ,subjekt,subjekts,subjektet,subjektets,subjekt,subjekts,subjekten,subjektens,ett,su,su,sub,sub,kt,et,ekt,tet,0.2857142857142857,0.3333333333333333,7,9
ordlista,~n ?listor ,ordlista,ordlistas,ordlistan,ordlistans,ordlistor,ordlistors,ordlistorna,ordlistornas,en,or,or,ord,ord,ta,an,sta,tan,0.375,0.3333333333333333,8,9
verb,~et; pl. ~ ,verb,verbs,verbet,verbets,verb,verbs,verben,verbens,ett,ve,ve,ver,ver,rb,et,erb,bet,0.25,0.3333333333333333,4,6
kontingent,~en ~er ,kontingent,kontingents,kontingenten,kontingentens,kontingenter,kontingenters,kontingenterna,kontingenternas,en,ko,ko,kon,kon,nt,en,ent,ten,0.3,0.3333333333333333,10,12
upplag,~et; pl. ~ ,upplag,upplags,upplaget,upplagets,upplag,upplags,upplagen,upplagens,ett,up,up,upp,upp,ag,et,lag,get,0.3333333333333333,0.375,6,8
rapport,~en ~er ,rapport,rapports,rapporten,rapportens,rapporter,rapporters,rapporterna,rapporternas,en,ra,ra,rap,rap,rt,en,ort,ten,0.2857142857142857,0.3333333333333333,7,9
sak,~en ~er ,sak,saks,saken,sakens,saker,sakers,sakerna,sakernas,en,sa,sa,sak,sak,ak,en,sak,ken,0.3333333333333333,0.4,3,5
natt,~en nätter ,natt,natts,natten,nattens,nätter,nätters,nätterna,nätternas,en,na,na,nat,nat,tt,en,att,ten,0.25,0.3333333333333333,4,6
tidsmarkör,~en ~er ,tidsmarkör,tidsmarkörs,tidsmarkören,tidsmarkörens,tidsmarkörer,tidsmarkörers,tidsmarkörerna,tidsmarkörernas,en,ti,ti,tid,tid,ör,en,kör,ren,0.3,0.3333333333333333,10,12
berså,~n ~er ,berså,bersås,bersån,bersåns,bersåer,bersåers,bersåerna,bersåernas,en,be,be,ber,ber,så,ån,rså,sån,0.4,0.3333333333333333,5,6
salighet,~en ~er ,salighet,salighets,saligheten,salighetens,saligheter,saligheters,saligheterna,saligheternas,en,sa,sa,sal,sal,et,en,het,ten,0.375,0.4,8,10
buller,bullret ,buller,bullers,bullret,bullrets,NOP,NOP,NOP,NOP,ett,bu,bu,bul,bul,er,et,ler,ret,0.3333333333333333,0.2857142857142857,6,7
säd,~en ,säd,säds,säden,sädens,NOP,NOP,NOP,NOP,en,sä,sä,säd,säd,äd,en,säd,den,0.3333333333333333,0.4,3,5
tub,~en ~er ,tub,tubs,tuben,tubens,tuber,tubers,tuberna,tubernas,en,tu,tu,tub,tub,ub,en,tub,ben,0.3333333333333333,0.4,3,5
ting,~et; pl. ~ ,ting,tings,tinget,tingets,ting,tings,tingen,tingens,ett,ti,ti,tin,tin,ng,et,ing,get,0.25,0.3333333333333333,4,6
redovisning,~en ~ar ,redovisning,redovisnings,redovisningen,redovisningens,redovisningar,redovisningars,redovisningarna,redovisningarnas,en,re,re,red,red,ng,en,ing,gen,0.36363636363636365,0.38461538461538464,11,13
ä,ä:et; pl. ä:n el. ä,ä,ä:s,ä:et,ä:ets,ä:n (ä),ä:ns (ä:s),ä:na,ä:nas,ett,ä,ä:,ä,ä:e,ä,et,ä,:et,1.0,0.5,1,4
synonymordbok,~en ?ordböcker ,synonymordbok,synonymordboks,synonymordboken,synonymordbokens,synonymordböcker,synonymordböckers,synonymordböckerna,synonymordböckernas,en,sy,sy,syn,syn,ok,en,bok,ken,0.38461538461538464,0.4,13,15
tidsplan,~en ~er ,tidsplan (en tidplan),tidsplans (en tidplans),tidsplanen (tidplanen),tidsplanens (tidplanens),tidsplaner (tidplaner),tidsplaners (tidplaners),tidsplanerna (tidplanerna),tidsplanernas (tidplanernas),en,ti,ti,tid,tid,an,en,lan,nen,0.23809523809523808,0.2727272727272727,21,22
tidsplan,~et; pl. ~ ,tidsplan,tidsplans,tidsplanet,tidsplanets,tidsplan,tidsplans,tidsplanen,tidsplanens,ett,ti,ti,tid,tid,an,et,lan,net,0.25,0.3,8,10
logga,~n loggor ,logga,loggas,loggan,loggans,loggor,loggors,loggorna,loggornas,en,lo,lo,log,log,ga,an,gga,gan,0.4,0.3333333333333333,5,6
prov,~et; pl. ~ ,prov,provs,provet,provets,prov,provs,proven,provens,ett,pr,pr,pro,pro,ov,et,rov,vet,0.25,0.3333333333333333,4,6
prov,~et; pl. ~ el. ~er ,prov,provs,provet,provets,prov (prover),provs (provers),proven (proverna),provens (provernas),ett,pr,pr,pro,pro,ov,et,rov,vet,0.25,0.3333333333333333,4,6
kort,~et; pl. ~ ,kort,korts,kortet,kortets,kort,korts,korten,kortens,ett,ko,ko,kor,kor,rt,et,ort,tet,0.25,0.3333333333333333,4,6
adress,~en ~er ,adress,adress,adressen,adressens,adresser,adressers,adresserna,adressernas,en,ad,ad,adr,adr,ss,en,ess,sen,0.3333333333333333,0.375,6,8
böjning,~en ~ar ,böjning,böjnings,böjningen,böjningens,böjningar,böjningars,böjningarna,böjningarnas,en,bö,bö,böj,böj,ng,en,ing,gen,0.2857142857142857,0.3333333333333333,7,9
